ss_username,cf_username,cf_rating,cc_username,cc_rating
eldnahon,slime,3449.0,peehs_moorhsum,3007.0
jora,,2383.8900684392215,uwi,2906.0
lala,,2259.1557601023815,kal013,2756.0
wesnerm,,2209.2620367676454,wmoise,2696.0
grebnesieh,grebnesieh,1703.0,grebnesieh,2673.0
aurinegro,aurinegro,2202.0,aurinegro,2628.0
retrograd,retrograd,2262.0,retrograd,2628.0
chris19,anudeep2011,2023.0,anudeep2011,2565.0
adkroxx,adkroxx,1765.0,adkroxx,2561.0
ania,ania,2566.0,ania7,2526.0
hohohaha,a05,2057.086180596701,cacc,2513.0
tusg25,tusg25,2306.0,tusg25,2507.0
Jakube,jakube,2423.0,afaxnraner,2494.0
acraider,acraider,2223.0,acraider,2468.0
bazsi700,bazsi700,2601.0,bazsi700,2465.0
serotonin,serotonin,2340.0,serotonin,2461.0
Iamchecking,,2009.6871434287016,yash_daga,2456.0
accepted,chinmay0906,2101.0,chinmay0906,2446.0
srikkanthr,supersri04,1996.0,supersri_pro,2445.0
smookiekins,npcompete94,1784.0,rt_shah,2437.0
andrei1998,andrei1998,2422.0,andrei1998,2436.0
abdullah768,slow_but_determined,2040.0,abdullah768,2435.0
pmnox,pmnox,1980.582471483439,pmnox,2421.0
EndRay,endray,1972.2668509276496,perucmpamypa,2411.0
naveen_iitr,naveen_iitr,1972.2668509276496,naveen_iitr,2411.0
math2718maniac,mathmaniac,2013.0,mathmaniac,2409.0
aropan,aropan,2421.0,aropan,2406.0
Paradox,paradox1,1964.7827924274393,miteshag,2402.0
Threat,fischer,2102.0,xam_,2395.0
Sorting,sorting,2342.0,sorting,2391.0
amoo_safar,amoo_safar,2810.0,alisfr32,2391.0
jay_1048576,jaysharma1048576,2195.0,jay_1048576,2390.0
demoralizer,demoralizer,2352.0,demoralizer,2374.0
shivram_gowtham,shivram,2019.0,a1a99_3,2372.0
nothave,not,1939.0043687044924,not,2371.0
n2n,n2n,1321.0,n2n_,2369.0
hrsh_panwar,magga,2383.0,hrsh_panwar,2368.0
aniket9465,aniket9465,2194.0,aniket9465,2364.0
mihil2701,the_nightmare,2312.0,mihil2701,2359.0
